subject,cluster
300,1
301,1
302,1
303,1
304,1
306,1
307,1
308,1
309,1
400,1
401,2
402,1
403,1
404,1
405,3
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,0
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,2
427,2
428,1
429,1
430,2
431,0
432,1
433,1
434,2
435,2
436,1
437,1
438,1
439,2
440,2
441,1
442,1
443,0
444,1
445,1
446,1
447,1
448,1
449,2
450,1
451,1
452,1
453,0
454,2
455,1
456,1
457,2
458,2
459,1
460,1
461,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1